basis,created_at,created_by_id,place_a_id,place_b_id,task_id,updated_at
imported,2024-05-31,2,4637043,7689327,NULL,2024-05-31
imported,2024-05-31,2,5536332,6374021,NULL,2024-05-31
imported,2024-05-31,2,87901,84901,NULL,2024-05-31
imported,2024-05-31,2,4622252,83634,NULL,2024-05-31
imported,2024-05-31,2,5233111,6370070,NULL,2024-05-31
imported,2024-05-31,2,14149909,7254835,NULL,2024-05-31
imported,2024-05-31,2,5069572,7240921,NULL,2024-05-31
imported,2024-05-31,2,6369240,6373801,NULL,2024-05-31
imported,2024-05-31,2,2487453,81977,NULL,2024-05-31
imported,2024-05-31,2,82439,14154304,NULL,2024-05-31
imported,2024-05-31,2,6373342,14158578,NULL,2024-05-31
imported,2024-05-31,2,82828,82828,NULL,2024-05-31
imported,2024-05-31,2,12345742,13877730,NULL,2024-05-31
imported,2024-05-31,2,13528759,6370891,NULL,2024-05-31
imported,2024-05-31,2,4733387,7223195,NULL,2024-05-31
imported,2024-05-31,2,13113151,6368765,NULL,2024-05-31
imported,2024-05-31,2,5273224,6373995,NULL,2024-05-31
imported,2024-05-31,2,5927978,90207,NULL,2024-05-31
imported,2024-05-31,2,7137356,14158708,NULL,2024-05-31
imported,2024-05-31,2,82854,7686406,NULL,2024-05-31
imported,2024-05-31,2,7689059,14174852,NULL,2024-05-31
